id,status,series,laureate_en,laureate_zh,category,prize_year,affiliation,country,date,host_key,title_en,title_zh,hook_zh,hook_en,summary_zh,summary_en,topic_tags,yt_lecture,yt_lecture_ntu,yt_guide,extra_sessions,interviews,nobel_facts,instagram,ntu_epaper,ntu_spotlight
strickland,published,TAIWAN BRIDGES,Prof. Donna Strickland,唐娜‧史崔克蘭,physics,2018,University of Waterloo,Canada,2026-01-12,NTU,Why trust in science is important,為什麼信任科學很重要,疫情期間，科學第一次在所有人面前修正自己。,"During the pandemic, science revised itself in public.",GPS（全球定位系統）、網際網路與個人電腦，都出自需要多年才做對的科學。史崔克蘭指出，公開修正並非科學失靈，而是它一貫的工作方式，只是這一次發生在所有人眼前。,"GPS, the internet and the personal computer all came out of science that took years to get right. Strickland's point is that revising in public is not a failure of science but its ordinary method, this time carried out in front of everyone.",physics-applied | ethics-responsibility | method-discovery,C7PAOAEOczU,51o9waNOWD8,5e6-gtnHV0M,,cw::yzuzWHUBRF4 | storm::mfKzYae44F0,https://www.nobelprize.org/prizes/physics/2018/strickland/facts/,https://www.instagram.com/reel/DTzWJUciXtk/,https://sec.ntu.edu.tw/epaper/article.asp?num=1674&sn=39685,https://www.ntu.edu.tw/spotlight/2026/2448_20260116.html
stiglitz,published,TAIWAN BRIDGES,Prof. Joseph E. Stiglitz,約瑟夫‧史迪格里茲,economics,2001,Columbia University,USA,2026-01-13,YKH,The road to freedom: economics and the good society,通往自由之路：經濟學與美好社會,市場愈自由，未必人人愈自由。,A freer market is not the same as a freer person.,史迪格里茲的研究處理資訊不對稱（information asymmetry）：當交易雙方掌握的資訊不同，市場會如何失靈。這場演講延伸到更大的題目——一個社會如何安排規則，才不至於讓自由只屬於最有力量的人。,Stiglitz built his career on information asymmetry: what goes wrong in markets when one side knows more than the other. This lecture extends that to a larger question — how a society arranges its rules so that freedom is not reserved for the powerful.,economics | ethics-responsibility | peace-society,WlxbaXqWXAs,,,,,https://www.nobelprize.org/prizes/economic-sciences/2001/stiglitz/facts/,,,
haroche,published,TAIWAN BRIDGES,Prof. Serge Haroche,塞爾日‧阿羅什,physics,2012,Collège de France,France,2026-01-16,AS,"New developments and applications in laser science and quantum optics, electronics and computing",雷射科學與量子光學、電子學及運算的新發展與應用,看見單顆光子，而沒有毀掉它。,Seeing a single photon without destroying it.,測量量子系統通常會摧毀它。阿羅什設計出方法，能反覆觀測被困住的單顆光子（photon）而不將其破壞，量子世界的行為因此第一次被直接看見。他由此談雷射（laser）、量子光學（quantum optics）與量子運算（quantum computing）的走向。,"Measuring a quantum system usually destroys it. Haroche devised a way to observe a single trapped photon repeatedly without wrecking it, making quantum behaviour directly visible for the first time. From there he looks at lasers, quantum optics and quantum computing.",physics-fundamental | ai-computation | method-discovery,JrkyzmChFjI,,,,storm::pJoT3EBR1us,https://www.nobelprize.org/prizes/physics/2012/haroche/facts/,,,
schmidt,published,TAIWAN BRIDGES,Prof. Brian P. Schmidt,布萊恩‧施密特,physics,2011,Australian National University,Australia,2026-01-19,NCHU,Science: Humanity's universal bridge,科學：人類共通的橋樑,宇宙不只在膨脹，而且愈脹愈快。,The universe is not only expanding. It is speeding up.,施密特的團隊測量遙遠的超新星（supernova），原本要確定宇宙膨脹減慢了多少，得到的卻是加速的結果。這個沒有人預期的答案開啟了暗能量（dark energy）的問題。他以此為例，談科學作為一種共通方法的意義。,"Schmidt's team measured distant supernovae expecting to find how much the expansion of the universe had slowed, and found it accelerating instead. That unwanted answer opened the question of dark energy. He uses it to talk about science as a method held in common.",physics-fundamental | method-discovery | peace-society,il_Wkv2Maaw,,,,,https://www.nobelprize.org/prizes/physics/2011/schmidt/facts/,,,
mayor,published,TAIWAN BRIDGES,Prof. Michel Mayor,米歇爾‧麥耶,physics,2019,University of Geneva,Switzerland,2026-01-22,AS,Is there a Planet B – Will humanity emigrate to an exoplanet?,有沒有 B 行星？——人類會移民到系外行星嗎？,找到最多世界的人，說我們哪裡也去不了。,The man who found other worlds says we are not going to them.,馬約與奎洛茲共同發現第一顆繞類太陽恆星運行的系外行星（exoplanet），此後已知的行星以千計。正因清楚那些世界的距離與環境，他在這場演講中給出的答案很直接：沒有 B 行星。,"Mayor and Queloz found the first exoplanet orbiting a Sun-like star; thousands are now known. Precisely because he knows how far away and how hostile those worlds are, his answer here is a plain one: there is no Planet B.",physics-fundamental | climate-energy | ethics-responsibility,tj8OSXJRV0A,,,,storm::TewD-AbmUQw,https://www.nobelprize.org/prizes/physics/2019/mayor/facts/,,,
meldal,published,TAIWAN BRIDGES,Prof. Morten P. Meldal,莫頓‧梅爾達爾,chemistry,2022,University of Copenhagen,Denmark,2026-01-26,NTU,Chemistry for a sustainable world – Everything is chemistry and how that influences our choices,為永續世界而生的化學——萬物皆化學，以及它如何影響我們的選擇,讓分子像扣子一樣扣上，乾淨且快速。,"Molecules that snap together, quickly and cleanly.",梅爾達爾是「點擊化學」（click chemistry）的奠基者之一。這套方法讓分子快速而精確地接合，減少廢棄物、耗能與副反應，也改變了製藥與新材料的做法。以更少的材料、更少的能源，達成同樣的結果。,"Meldal is one of the founders of click chemistry, a way of joining molecules quickly and precisely with less waste, less energy and fewer side reactions. It changed how drugs and new materials are made. Less material, less energy, the same result.",chemistry-molecular | climate-energy | method-discovery,lTZP1kxTwSM,XhOCuaxqSHY,UNt_MdCz5T0,,storm::T3nEqnPrXEM,https://www.nobelprize.org/prizes/chemistry/2022/meldal/facts/,https://www.instagram.com/reel/DUE8cF7gnG7/,https://sec.ntu.edu.tw/epaper/article.asp?num=1674&sn=39684,https://www.ntu.edu.tw/spotlight/2026/2451_20260128.html
engle,published,TAIWAN BRIDGES,Prof. Robert F. Engle III,羅伯特‧恩格爾,economics,2003,New York University,USA,2026-02-02,THU,A financial approach to climate risk,以金融方法看氣候風險,氣候風險已經在退休金的帳上。,Climate risk is already on the pension statement.,恩格爾發明了衡量金融市場波動會群聚（volatility clustering）的方法，成為風險管理的基本工具。他把同一套思路用於氣候：乾旱、洪水與政策轉向都會改變資產價格，因此氣候風險就是財務風險。,"Engle invented the method for measuring how financial volatility clusters, now a standard tool of risk management. He applies the same thinking to the climate: droughts, floods and policy shifts move asset prices, which makes climate risk a financial risk.",economics | climate-energy,EJVC6_gZc5o,,,,storm::UJDJJV67shY,https://www.nobelprize.org/prizes/economic-sciences/2003/engle/facts/,,,
roberts,published,TAIWAN BRIDGES,Dr. Sir Richard J. Roberts,理查‧羅伯茨,medicine,1993,New England Biolabs,USA,2026-02-05,AS,Why you should love GMOs,你為什麼應該喜歡基因改造食品,基因不是一段連續的文字。,A gene is not one continuous piece of text.,羅伯茨發現基因中夾著必須被剪除的片段（introns，內含子），改寫了人們對基因運作的理解。在這場演講中，他直接處理一個有爭議的題目，主張對基因改造作物的恐懼，代價由最需要糧食的人承擔。,"Roberts discovered that genes are interrupted by stretches that must be cut out — introns — which rewrote how genes were understood. Here he takes on a contested subject, arguing that fear of genetically modified crops is paid for by the people who most need food.",life-science | ethics-responsibility | climate-energy,VmpL2HPJ_g8,,,,cw::yAL6mkgehbg | storm::GoVWwoxZZ2A,https://www.nobelprize.org/prizes/medicine/1993/roberts/facts/,,,
mbmoser,published,TAIWAN BRIDGES,Prof. May-Britt Moser,梅‧布麗特‧莫澤,medicine,2014,Norwegian University of Science and Technology,Norway,2026-02-09,NTU,The brain's systems for navigation and memory and their relevance for Alzheimer's disease,大腦的導航與記憶系統，及其與阿茲海默症的關聯,大腦裡有一組細胞，替空間鋪出座標。,A set of cells lays a coordinate grid over space.,在大腦的內嗅皮質（entorhinal cortex）中，一群神經細胞以規律的網格形式放電，讓人知道自己身在何處，也把空間與記憶連在一起。莫瑟指出，這套系統在阿茲海默症（Alzheimer's disease）早期即受損。,"In the brain's entorhinal cortex, certain neurons fire in a regular grid, telling you where you are and tying space to memory. Moser shows that this system is among the first to be damaged in Alzheimer's disease.",life-science | medicine-clinical,JnBkvRgjA9I,cRu-6W0kQKs,vK_aNwIlqRs,,,https://www.nobelprize.org/prizes/medicine/2014/may-britt-moser/facts/,https://www.instagram.com/reel/DVNnv4ogaXh/,https://sec.ntu.edu.tw/epaper/article.asp?num=1675&sn=39698,https://www.ntu.edu.tw/spotlight/2026/2452_20260211.html
nurse,published,TAIWAN BRIDGES,Dr. Sir Paul Nurse,保羅‧納斯,medicine,2001,Francis Crick Institute,UK,2026-02-11,AS,What is life?,生命是什麼？,控制細胞何時分裂的開關，從酵母菌到人類幾乎一樣。,The switch that times cell division is nearly the same in yeast and in us.,納斯找到了細胞週期（cell cycle）推進的關鍵控制點，這套機制跨越物種幾乎不變，也是癌症研究的核心。累積了一生的答案之後，他回到那個最基本的提問。,"Nurse identified the control point that drives the cell cycle forward, a mechanism almost unchanged across species and central to cancer research. With a career's worth of answers behind him, he returns to the most basic question of all.",life-science | method-discovery,TN0GNDKL6mY,,,,cw::9IyVEq0LHBM | storm::2AQFCYlhqFY,https://www.nobelprize.org/prizes/medicine/2001/nurse/facts/,,,
winter,published,TAIWAN BRIDGES,Prof. Sir Gregory P. Winter,格雷戈里‧溫特,chemistry,2018,MRC Laboratory of Molecular Biology,UK,2026-03-02,AS,The antibody revolution,抗體革命,在實驗室裡讓演化跑一遍。,"Evolution, run inside a laboratory.",溫特找到方法，讓實驗室能一輪一輪篩選出愈來愈精準的抗體（phage display，噬菌體展示）。今日許多治療癌症與自體免疫疾病（autoimmune diseases）的藥物，都由此而來。,"Winter found a way to let a laboratory run selection itself, round after round, for ever more precise antibodies. Many of today's cancer and autoimmune drugs are made exactly this way.",chemistry-molecular | medicine-clinical | method-discovery,KTHc6qF3mo0,,,,storm::FpUEzPKrlBY,https://www.nobelprize.org/prizes/chemistry/2018/winter/facts/,,,
mcdonald,published,TAIWAN BRIDGES,Prof. Arthur B. McDonald,阿瑟‧麥克唐納,physics,2015,Sudbury Neutrino Observatory,Canada,2026-03-09,TKU,Answering existential questions about our universe and its evolution,回答關於宇宙及其演化的根本問題,地底 2 公里處，為了看清楚太陽。,"Two kilometres underground, in order to see the Sun.",太陽送出的微中子（neutrino），地面只測到預期的三分之一，這個落差困擾物理學界 30 年。麥克唐納在地底深處的實驗證明它們並未消失，只是改變了身分。微中子因此必須具有質量，標準模型（Standard Model）並不完整。,"Only a third of the neutrinos the Sun should send us were being counted, a discrepancy that troubled physics for 30 years. McDonald's experiment, deep underground, showed they had not vanished but changed identity: neutrinos must have mass, and the Standard Model is incomplete.",physics-fundamental | method-discovery,io3z9LwxM34,,,,,https://www.nobelprize.org/prizes/physics/2015/mcdonald/facts/,,,
noyori,published,TAIWAN BRIDGES,Prof. Ryoji Noyori,野依良治,chemistry,2001,Nagoya University,Japan,2026-03-20,TKU,Chemistry is the science of value creation,化學是創造價值的科學,同一個分子的左手與右手，作用可能相反。,The left and right hand of one molecule can do opposite things.,許多分子存在互為鏡像的 2 種形式，如同左右手。在人體內往往只有一種有效，另一種可能有害。野依良治發展出不對稱催化（asymmetric catalysis），能選擇性地只合成需要的那一種。,"Many molecules exist in two mirror-image forms, like a left and a right hand. Inside the body often only one is useful and the other may do harm. Noyori developed asymmetric catalysis, which builds only the hand that is wanted.",chemistry-molecular | method-discovery,zAM1_fhu6kY,,,,,https://www.nobelprize.org/prizes/chemistry/2001/noyori/facts/,,,
emoser,published,TAIWAN BRIDGES,Prof. Edvard I. Moser,愛德華‧莫澤,medicine,2014,Norwegian University of Science and Technology,Norway,2026-03-27,AS,The brain's GPS: How we know where we are,大腦的 GPS：我們如何知道自己在哪裡,移動的時候，大腦始終知道自己在哪。,"As you move, the brain keeps track of where you are.",莫瑟與研究團隊發現了網格細胞（grid cells）：它們在大腦中鋪出規律的座標網，使人在移動時持續掌握自身位置。這是大腦為空間建立地圖的方式，記憶也附著其上。,"Moser and his colleagues discovered grid cells, which lay a regular coordinate mesh inside the brain so that position is tracked continuously during movement. It is how the brain maps space, and the scaffold that memory hangs on.",life-science | method-discovery,QOvGspShTQU,,,,storm::mD7Hz7KVIVM,https://www.nobelprize.org/prizes/medicine/2014/edvard-moser/facts/,,,
rice,published,TAIWAN BRIDGES,Prof. Charles M. Rice,查爾斯‧萊斯,medicine,2020,Rockefeller University,USA,2026-03-30,TCU,Global infectious disease: triumphs and challenges,全球傳染病：勝利與挑戰,一種曾經無藥可醫的病毒，如今幾週可癒。,"A virus once beyond treatment, now cured in weeks.",C 型肝炎（hepatitis C）曾在全球感染數千萬人，終致肝硬化（cirrhosis）與肝癌。萊斯的研究讓這種病毒首次能在實驗室中完整培養，治癒性藥物才得以出現。他以此為起點，談下一場疫情所欠缺的準備。,"Hepatitis C infected tens of millions worldwide and ended in cirrhosis and liver cancer. Rice's work made it possible to grow the virus in the laboratory for the first time, which is what opened the way to a cure. He takes that as the starting point for what is still missing before the next outbreak.",life-science | medicine-clinical,NJXpq2nSyTY,,,,cw::QwE4TN8Hmlo,https://www.nobelprize.org/prizes/medicine/2020/rice/facts/,,,
wuthrich,published,TAIWAN BRIDGES,Prof. Kurt Wüthrich,庫爾特‧維特里希,chemistry,2002,ETH Zürich,Switzerland,2026-04-07,AS,"The molecules of life, AI and human health",生命的分子、AI 與人類健康,蛋白質的形狀決定它的功能，而它小到看不見。,"A protein's shape decides what it does, and it is far too small to see.","維特里希發展出以核磁共振（nuclear magnetic resonance, NMR）在溶液中解出蛋白質三維結構的方法，也就是在接近生命實際狀態的環境下觀察它。這條路一直延伸到今日的 AI 結構預測（protein structure prediction）。","Wüthrich developed a way to determine a protein's three-dimensional structure in solution using nuclear magnetic resonance — that is, close to the state in which life keeps it. That road runs all the way to today's AI structure prediction.",chemistry-molecular | ai-computation | method-discovery,xVOW7dzgRyM,,,,storm::LpPpUHwFdaw,https://www.nobelprize.org/prizes/chemistry/2002/wuthrich/facts/,,,
semenza,published,TAIWAN BRIDGES,Prof. Gregg L. Semenza,格雷格‧塞門薩,medicine,2019,Johns Hopkins University,USA,2026-04-14,NCKU,"Oxygen, carbon dioxide and sustainable life on Earth",氧氣、二氧化碳，與地球上的永續生命,身體隨時在數氧氣，並且知道該怎麼辦。,"The body counts its oxygen, and knows what to do about it.",塞門薩找到細胞感測氧氣濃度的分子開關（HIF，缺氧誘導因子）。缺氧時它會啟動一整套反應，例如生成新血管。這套機制關係到貧血與心血管疾病，腫瘤也利用它為自己供血。,"Semenza found the molecular switch by which a cell senses how much oxygen it has. When oxygen runs short it triggers a whole programme of responses, such as growing new blood vessels. The same system underlies anaemia and heart disease, and tumours use it to feed themselves.",life-science | medicine-clinical | climate-energy,ZEFnMve_8ig,,,,,https://www.nobelprize.org/prizes/medicine/2019/semenza/facts/,,,
roth,published,TAIWAN BRIDGES,Prof. Alvin E. Roth,艾爾文‧羅斯,economics,2012,Stanford University,USA,2026-04-20,NTHU,"Markets, market design and medicine",市場、市場設計與醫療,腎臟不能買賣，但仍然必須被分配。,"A kidney cannot be bought, and still must be allocated.",有些東西不該標價，配對卻仍然得做，而且做得好壞攸關生死。羅斯把經濟學轉為一種設計工作（market design，市場設計）：重新設計規則本身，使捐贈者與病患得以配對。這套方法已在多國實際運作。,"Some things should carry no price, yet the matching still has to be done, and how well it is done decides who lives. Roth turned economics into a design discipline: redesigning the rules themselves so that donors and patients can be matched. The method is in use in several countries.",economics | medicine-clinical | ethics-responsibility,f1ib7S3mJpE,,,,cw::lhgrxypspsU | storm::6E5szZDmbI4,https://www.nobelprize.org/prizes/economic-sciences/2012/roth/facts/,,,
kobilka,published,TAIWAN BRIDGES,Prof. Brian K. Kobilka,布萊恩‧科比爾卡,chemistry,2012,Stanford University,USA,2026-04-21,NTHU,The new era in drug development,藥物開發的新時代,市售藥物約有三分之一，作用在同一類受體上。,About a third of all medicines act on the same family of receptors.,"細胞表面的 G 蛋白偶合受體（G protein-coupled receptors, GPCR）負責把外界訊號傳入細胞。科比爾卡拍下了這類受體在傳遞訊號當下的立體結構，使藥物設計得以看著標靶進行。","G protein-coupled receptors sit on the cell surface and carry signals from the outside world in. Kobilka captured their three-dimensional structure at the instant a signal passes, which let drug design begin to aim at a target it can see.",chemistry-molecular | medicine-clinical | method-discovery,DEURLJp2AUI,,,,,https://www.nobelprize.org/prizes/chemistry/2012/kobilka/facts/,,,
kajita,published,TAIWAN BRIDGES,Prof. Takaaki Kajita,梶田隆章,physics,2015,University of Tokyo,Japan,2026-04-23,AS,The importance of science for peacebuilding,科學對建立和平的重要性,每一秒，數以兆計的微中子穿過人體。,Trillions of neutrinos pass through a body every second.,梶田隆章證明微中子（neutrino）在飛行途中會改變身分（neutrino oscillation，微中子振盪），這代表它們具有質量，而粒子物理原先假設沒有。這項結果需要跨國、跨世代的合作才可能完成，也是他在此談論的主題。,"Kajita showed that neutrinos change identity in mid-flight, which means they carry mass where particle physics had assumed none. The result took collaboration across nations and across generations, and that is his subject here.",physics-fundamental | peace-society | method-discovery,uWHIUdjWnGc,,,,storm::0r0eBO35vEc,https://www.nobelprize.org/prizes/physics/2015/kajita/facts/,,,
frank,published,TAIWAN BRIDGES,Prof. Joachim Frank,約阿希姆‧法蘭克,chemistry,2017,Columbia University,USA,2026-05-06,NTU,"Cryo-electron microscopy, a new foundation for molecular medicine and drug design",冷凍電子顯微鏡：分子醫學與藥物設計的新基礎,數千張模糊的照片，合成一個清晰的分子。,"Thousands of blurred pictures, combined into one clear molecule.","法蘭克發展出影像處理方法，將成千上萬張模糊的電子顯微鏡（electron microscope）影像合成為清晰的立體結構。配合急速冷凍，也就是冷凍電子顯微鏡（cryo-electron microscopy, cryo-EM），蛋白質首次能在接近自然的狀態下被看見。",Frank developed the image processing that combines thousands of blurred electron-microscope pictures into one sharp three-dimensional structure. With flash-freezing — cryo-electron microscopy — proteins could be seen close to their natural state for the first time.,chemistry-molecular | medicine-clinical | method-discovery,yhZhymmeaso,pfNkuYxhgfM,FJnh2-IxXy0,,storm::7m_c74EtA1w,https://www.nobelprize.org/prizes/chemistry/2017/frank/facts/,https://www.instagram.com/reel/DYPb8dKgRW0/,https://sec.ntu.edu.tw/epaper/article.asp?num=1687&sn=41788,https://www.ntu.edu.tw/spotlight/2026/2489_20260513.html
